	Cambridge Pink and Black Stripe				RHS Green Circle/Black Diamond		Balance
Race	Pink(7, 8)		Black Stripe(10, 11)		Green Circle(7, 8)		Black Diamond(10, 11)	Min	Max
1	20	15	14	6					0	1
2					3	8	5	4	0	1
3	14	12	10	6					0	2
4					5	1	21	4	0	2
5	10	12	11	9					0	2
6					21	1	19	18	0	2
7	11	16	7	9					0	2
8					19	13	23	18	0	2
9	7	16	2	24					0	2
10					23	13	17	22	0	2
11	2	20	15	24					0	2
12					17	3	8	22	0	2
13	7	21	16	13					0	3
14					9	0	24	11	1	3
15	16	15	4	13					1	4
16					24	18	17	11	1	4
17	4	15	3	12					1	4
18					17	18	20	10	1	4
19	3	2	5	12					1	4
20					20	23	19	10	1	4
21	5	2	14	8					1	4
22					19	23	6	22	1	4
23	14	7	21	8					1	4
24					6	9	0	22	2	4
25	19	15	23	12					2	5
26					10	14	7	18	2	5
27	12	15	22	13					2	6
28					7	6	8	18	2	6
29	22	5	20	13					2	6
30					8	6	16	0	2	6
31	20	5	11	3					2	6
32					16	17	24	0	2	6
33	11	1	4	3					3	6
34					24	17	21	9	3	6
35	19	1	4	23					4	6
36					21	10	14	9	4	6
37	11	15	16	17					4	7
38					19	24	2	18	4	7
39	16	12	9	17					4	8
40					10	24	22	18	4	8
41	9	12	1	4					4	8
42					10	22	20	14	4	8
43	1	23	7	4					4	8
44					20	6	13	14	4	8
45	7	23	5	21					4	8
46					13	6	8	0	5	8
47	5	11	15	21					5	8
48					8	19	2	0	6	8
49	12	22	3	6					6	9
50					14	21	17	20	6	9
51	3	24	23	6					6	10
52					17	0	19	20	6	10
53	23	24	8	5					6	10
54					19	0	16	1	6	10
55	8	15	10	5					6	10
56					16	9	13	1	6	10
57	7	15	10	18					6	10
58					13	9	2	11	7	10
59	7	22	12	18					7	10
60					2	14	21	11	8	10
61	3	4	15	1					8	11
62					22	19	0	18	8	11
63	15	2	10	1					9	12
64					0	6	14	18	9	12
65	10	2	9	23					9	12
66					21	6	14	17	9	12
67	9	24	16	23					9	12
68					21	17	8	13	9	12
69	16	24	12	20					9	12
70					8	11	7	13	9	12
71	12	4	3	20					10	12
72					22	11	7	19	10	12
73	10	17	21	9					10	13
74					18	15	13	2	10	13
75	21	19	4	9					10	14
76					13	2	7	8	10	14
77	4	19	11	12					10	14
78					7	24	20	8	10	14
79	11	0	1	12					10	14
80					20	24	16	22	10	14
81	1	0	23	5					10	14
82					16	3	14	22	11	14
83	23	10	17	5					11	14
84					18	3	14	15	12	14
85	0	12	4	24					12	15
86					8	10	5	22	12	15
87	4	14	1	24					12	16
88					5	3	20	22	12	16
89	1	14	2	9					12	16
90					19	3	20	11	12	16
91	2	16	18	9					12	16
92					19	11	17	6	13	16
93	18	16	21	13					13	16
94					17	23	15	6	13	16
95	21	0	12	13					14	16
96					8	23	15	10	14	16
