Double Outing Summary (Per Competitor)

A proper double outing means staying in the SAME boat (column) across races N and N+2.

Competitor	Potential Double Outings	Same Boat (proper)	Switched Boat
0	4	2	2
1	3	1	2
2	3	1	2
3	3	0	3
4	2	2	0
5	4	2	2
6	4	2	2
7	4	2	2
8	3	1	2
9	4	3	1
10	4	4	0
11	4	3	1
12	4	2	2
13	4	2	2
14	2	2	0
15	3	1	2
16	3	1	2
17	3	1	2
18	4	1	3
19	3	1	2
20	3	1	2
21	3	1	2
22	3	3	0
23	3	1	2

TOTAL	80	40	40

Detailed Double Outings
Competitor	From Race	To Race	Same Boat?
0	4	6	No
0	21	23	Yes
0	29	31	No
0	37	39	Yes
1	1	3	No
1	20	22	No
1	26	28	Yes
2	1	3	Yes
2	13	15	No
2	41	43	No
3	17	19	No
3	30	32	No
3	44	46	No
4	6	8	Yes
4	43	45	Yes
5	3	5	Yes
5	21	23	No
5	32	34	No
5	41	43	Yes
6	3	5	No
6	14	16	Yes
6	29	31	Yes
6	45	47	No
7	10	12	Yes
7	16	18	No
7	25	27	No
7	46	48	Yes
8	19	21	Yes
8	26	28	No
8	39	41	No
9	7	9	No
9	15	17	Yes
9	31	33	Yes
9	44	46	Yes
10	2	4	Yes
10	16	18	Yes
10	33	35	Yes
10	42	44	Yes
11	8	10	Yes
11	22	24	Yes
11	32	34	Yes
11	37	39	No
12	10	12	No
12	20	22	Yes
12	30	32	Yes
12	42	44	No
13	7	9	Yes
13	19	21	No
13	27	29	Yes
13	43	45	No
14	9	11	Yes
14	17	19	Yes
15	6	8	No
15	18	20	No
15	25	27	Yes
16	8	10	No
16	13	15	Yes
16	28	30	No
17	5	7	No
17	33	35	No
17	40	42	Yes
18	2	4	No
18	22	24	No
18	27	29	No
18	38	40	Yes
19	4	6	Yes
19	14	16	No
19	46	48	No
20	9	11	No
20	34	36	No
20	39	41	Yes
21	15	17	No
21	34	36	Yes
21	40	42	No
22	5	7	Yes
22	28	30	Yes
22	45	47	Yes
23	18	20	Yes
23	31	33	No
23	38	40	No
