	Cambridge Pink and Black Stripe				RHS Green Circle/Black Diamond			
Race	Pink(7, 8)		Black Stripe(10, 11)		Green Circle(7, 8)		Black Diamond(10, 11)	
1	3	21	18	19				
2					20	1	17	23
3	18	14	22	19				
4					17	12	15	23
5	22	14	4	13				
6					15	12	7	6
7	4	16	9	13				
8					7	11	10	6
9	9	16	0	8				
10					10	11	5	2
11	0	3	21	8				
12					5	20	1	2
13	12	9	17	10				
14					18	7	6	23
15	17	2	0	10				
16					6	5	1	23
17	0	2	19	20				
18					1	5	16	21
19	19	8	3	20				
20					16	13	11	21
21	3	8	14	4				
22					11	13	15	22
23	14	12	9	4				
24					15	18	7	22
25	17	5	11	0				
26					2	9	8	4
27	11	12	20	0				
28					8	18	10	4
29	20	12	23	13				
30					10	18	22	3
31	23	19	7	13				
32					22	6	1	3
33	7	19	16	15				
34					1	6	14	21
35	16	17	5	15				
36					14	2	9	21
37	10	8	22	13				
38					5	0	6	15
39	22	4	21	13				
40					6	2	20	15
41	21	4	11	1				
42					20	2	23	7
43	11	9	18	1				
44					23	3	17	7
45	18	9	16	12				
46					17	3	14	19
47	16	10	8	12				
48					14	5	0	19
49	11	23	9	20				
50					2	13	17	18
51	20	23	12	21				
52					5	13	6	18
53	12	8	0	21				
54					5	7	6	4
55	16	8	0	14				
56					4	7	15	1
57	16	14	19	3				
58					15	10	22	1
59	19	11	9	3				
60					2	10	22	17
61	14	13	4	21				
62					23	9	8	11
63	4	19	17	21				
64					8	15	2	11
65	17	19	16	0				
66					2	15	6	18
67	16	5	22	0				
68					6	18	20	7
69	22	5	3	12				
70					20	10	1	7
71	3	14	13	12				
72					23	10	1	9
73	2	6	8	5				
74					19	13	7	16
75	8	14	23	5				
76					7	9	22	16
77	23	14	12	0				
78					22	9	11	20
79	12	18	15	0				
80					11	17	4	20
81	21	18	15	3				
82					4	17	1	10
83	21	2	6	3				
84					1	19	13	10
85	16	5	7	14				
86					18	22	3	11
87	7	8	20	14				
88					3	13	6	11
89	20	8	4	1				
90					6	13	17	9
91	4	15	12	1				
92					17	21	0	9
93	19	15	12	10				
94					0	21	2	23
95	19	16	5	10				
96					2	18	22	23
