	Cambridge Pink and Black Stripe				RHS Green Circle/Black Diamond				Balance
Race	Pink(7, 8)		Black Stripe(10, 11)		Green Circle(7, 8)		Black Diamond(10, 11)		Min	Max
1	1	12	14	21					0	1
2					17	19	7	11	0	1
3	14	4	16	21					0	2
4					7	6	20	11	0	2
5	16	4	23	22					0	2
6					20	6	24	3	0	2
7	23	13	2	22					0	2
8					24	15	5	3	0	2
9	2	13	9	8					0	2
10					5	15	18	10	0	2
11	9	1	12	8					0	2
12					18	17	19	10	0	2
13	14	23	0	24					1	3
14					9	6	20	8	1	3
15	0	16	7	24					2	4
16					20	5	19	8	2	4
17	7	16	17	13					2	4
18					19	5	11	4	2	4
19	17	21	12	13					2	4
20					11	3	22	4	2	4
21	12	21	18	2					2	4
22					22	3	15	10	2	4
23	18	14	23	2					2	4
24					15	9	6	10	2	4
25	11	8	0	1					3	5
26					24	13	16	12	3	5
27	0	7	5	1					4	5
28					16	17	6	12	4	6
29	5	7	23	4					4	6
30					6	17	22	10	4	6
31	23	3	21	4					4	6
32					22	14	9	10	4	6
33	21	3	18	15					4	6
34					9	14	19	20	4	6
35	18	11	8	15					4	6
36					19	24	13	20	4	6
37	1	22	0	2					5	7
38					7	10	9	16	5	7
39	0	15	4	2					5	7
40					9	13	19	16	5	8
41	4	15	21	23					5	8
42					18	13	19	11	5	8
43	21	5	8	23					5	8
44					18	24	12	11	5	8
45	8	5	6	14					5	8
46					12	24	20	17	5	8
47	6	22	1	14					6	8
48					20	7	10	17	6	8
49	3	2	12	0					6	9
50					22	18	9	23	6	9
51	16	2	11	0					6	9
52					9	20	17	23	6	10
53	16	11	24	6					6	10
54					14	20	17	5	6	10
55	24	21	1	6					7	10
56					14	5	10	13	7	10
57	1	21	19	15					7	10
58					10	8	7	13	7	10
59	19	3	12	15					8	10
60					22	8	7	18	8	10
61	2	1	4	0					8	10
62					23	12	24	10	8	11
63	4	3	13	0					9	11
64					24	22	20	10	9	12
65	13	3	11	17					9	12
66					20	22	16	15	9	12
67	11	21	9	17					9	12
68					16	6	14	15	9	12
69	9	21	8	18					9	12
70					19	6	14	7	9	12
71	8	2	1	18					10	12
72					19	23	12	7	10	12
73	5	4	0	3					10	12
74					13	10	9	17	10	13
75	3	15	4	1					10	13
76					9	7	12	17	10	14
77	1	15	14	2					11	14
78					12	7	16	8	11	14
79	14	19	21	2					11	14
80					16	20	24	8	11	14
81	21	22	19	18					11	14
82					24	20	11	23	11	14
83	5	22	0	18					12	14
84					11	13	10	23	12	14
85	1	3	2	6					12	14
86					20	21	12	16	12	15
87	2	6	4	13					12	15
88					12	9	18	16	12	16
89	4	19	22	13					12	16
90					18	9	11	24	12	16
91	22	19	5	0					13	16
92					11	14	17	24	13	16
93	5	23	10	0					13	16
94					8	14	17	15	13	16
95	1	23	10	3					14	16
96					8	21	20	15	14	16
