	Cambridge Pink and Black Stripe				RHS Green Circle/Black Diamond			
Race	Pink(7, 8)		Black Stripe(10, 11)		Green Circle(7, 8)		Black Diamond(10, 11)	
1	Competitor_0	Competitor_1	Competitor_2	Competitor_3				
2					Competitor_12	Competitor_13	Competitor_14	Competitor_15
3	Competitor_0	Competitor_2	Competitor_1	Competitor_3				
4					Competitor_12	Competitor_14	Competitor_13	Competitor_15
5	Competitor_4	Competitor_5	Competitor_6	Competitor_7				
6					Competitor_16	Competitor_17	Competitor_18	Competitor_19
7	Competitor_4	Competitor_6	Competitor_5	Competitor_7				
8					Competitor_16	Competitor_18	Competitor_17	Competitor_19
9	Competitor_8	Competitor_9	Competitor_10	Competitor_11				
10					Competitor_20	Competitor_21	Competitor_22	Competitor_23
11	Competitor_8	Competitor_10	Competitor_9	Competitor_11				
12					Competitor_20	Competitor_22	Competitor_21	Competitor_23
13	Competitor_0	Competitor_4	Competitor_8	Competitor_12				
14					Competitor_3	Competitor_7	Competitor_17	Competitor_21
15	Competitor_0	Competitor_8	Competitor_4	Competitor_12				
16					Competitor_3	Competitor_17	Competitor_7	Competitor_21
17	Competitor_1	Competitor_5	Competitor_9	Competitor_13				
18					Competitor_10	Competitor_14	Competitor_18	Competitor_22
19	Competitor_1	Competitor_9	Competitor_5	Competitor_13				
20					Competitor_10	Competitor_18	Competitor_14	Competitor_22
21	Competitor_2	Competitor_6	Competitor_16	Competitor_20				
22					Competitor_11	Competitor_15	Competitor_19	Competitor_23
23	Competitor_2	Competitor_16	Competitor_6	Competitor_20				
24					Competitor_11	Competitor_19	Competitor_15	Competitor_23
25	Competitor_0	Competitor_5	Competitor_10	Competitor_16				
26					Competitor_3	Competitor_12	Competitor_18	Competitor_23
27	Competitor_0	Competitor_10	Competitor_5	Competitor_16				
28					Competitor_3	Competitor_18	Competitor_12	Competitor_23
29	Competitor_1	Competitor_4	Competitor_11	Competitor_14				
30					Competitor_6	Competitor_13	Competitor_19	Competitor_21
31	Competitor_1	Competitor_11	Competitor_4	Competitor_14				
32					Competitor_6	Competitor_19	Competitor_13	Competitor_21
33	Competitor_2	Competitor_7	Competitor_8	Competitor_22				
34					Competitor_9	Competitor_15	Competitor_17	Competitor_20
35	Competitor_2	Competitor_8	Competitor_7	Competitor_22				
36					Competitor_9	Competitor_17	Competitor_15	Competitor_20
37	Competitor_0	Competitor_6	Competitor_11	Competitor_18				
38					Competitor_3	Competitor_15	Competitor_16	Competitor_22
39	Competitor_0	Competitor_11	Competitor_6	Competitor_18				
40					Competitor_3	Competitor_16	Competitor_15	Competitor_22
41	Competitor_1	Competitor_7	Competitor_10	Competitor_12				
42					Competitor_5	Competitor_14	Competitor_19	Competitor_20
43	Competitor_1	Competitor_10	Competitor_7	Competitor_12				
44					Competitor_5	Competitor_19	Competitor_14	Competitor_20
45	Competitor_2	Competitor_4	Competitor_9	Competitor_21				
46					Competitor_8	Competitor_13	Competitor_17	Competitor_23
47	Competitor_2	Competitor_9	Competitor_4	Competitor_21				
48					Competitor_8	Competitor_17	Competitor_13	Competitor_23
