	Cambridge Pink and Black Stripe				RHS Green Circle/Black Diamond				Balance
Race	Pink(7, 8)		Black Stripe(10, 11)		Green Circle(7, 8)		Black Diamond(10, 11)		Min	Max
1	12	4	2	1					0	1
2					6	5	18	19	0	1
3	2	9	11	1					0	2
4					18	10	22	19	0	2
5	11	9	16	8					0	2
6					22	10	0	20	0	2
7	16	21	13	8					0	2
8					0	17	14	20	0	2
9	13	21	7	3					0	2
10					14	17	8	15	1	3
11	7	12	4	3					1	3
12					8	6	5	15	2	4
13	0	14	18	22					2	4
14					4	7	1	21	2	4
15	18	16	2	22					2	4
16					1	12	8	21	2	5
17	2	16	11	10					2	5
18					8	12	3	5	2	6
19	11	20	19	10					2	6
20					3	17	16	5	2	6
21	19	20	13	9					2	6
22					16	17	15	6	3	6
23	13	0	14	9					3	6
24					15	4	7	6	4	6
25	2	19	11	12					4	6
26					16	14	13	17	4	7
27	11	18	22	12					4	7
28					13	6	4	17	4	7
29	1	18	22	3					4	7
30					4	6	8	0	4	7
31	1	3	20	10					4	7
32					8	9	5	0	4	8
33	20	21	17	10					4	8
34					5	9	15	7	5	8
35	2	21	17	19					5	8
36					15	16	14	7	6	8
37	5	11	13	20					6	8
38					21	6	2	0	6	8
39	22	11	4	20					6	8
40					2	17	15	0	6	9
41	22	4	10	1					6	9
42					15	17	8	20	6	10
43	10	3	9	1					6	10
44					8	7	16	20	6	10
45	9	3	18	12					6	10
46					16	7	14	19	7	10
47	18	5	13	12					7	10
48					14	21	6	19	8	10
49	2	4	3	11					8	10
50					13	16	12	20	8	11
51	3	0	7	11					8	11
52					12	19	5	20	8	12
53	7	0	22	1					8	12
54					21	19	5	8	8	12
55	22	1	12	15					8	12
56					21	17	18	8	8	12
57	12	9	10	15					8	12
58					18	17	6	14	9	12
59	4	9	10	2					9	12
60					6	16	13	14	10	12
61	1	19	3	15					10	12
62					4	8	10	9	10	13
63	3	6	18	15					10	13
64					9	20	8	17	10	14
65	18	6	7	22					10	14
66					17	20	2	13	10	14
67	7	21	5	22					10	14
68					2	13	12	6	10	14
69	5	21	11	0					10	14
70					12	14	16	6	11	14
71	11	19	1	0					11	14
72					4	14	16	10	12	14
73	2	3	15	21					12	14
74					12	19	20	1	12	15
75	15	9	22	21					12	15
76					20	1	8	14	12	16
77	22	9	13	18					12	16
78					8	10	11	14	12	16
79	13	5	7	18					12	16
80					4	10	11	22	12	16
81	7	5	17	6					12	16
82					4	0	16	22	13	16
83	17	3	2	6					13	16
84					12	0	16	19	14	16
85	5	1	7	9					14	16
86					18	3	13	4	14	16
87	10	15	11	2					14	16
88					21	14	19	0	15	16
89	10	5	11	9					15	16
90					21	18	19	13	15	16
91	7	1	15	2					15	16
92					3	14	4	0	16	16
