	Cambridge Pink and Black Stripe				RHS Green Circle/Black Diamond				Balance
Race	Pink(7, 8)		Black Stripe(10, 11)		Green Circle(7, 8)		Black Diamond(10, 11)		Min	Max
1	11	22	20	8					0	1
2					17	19	3	12	0	1
3	20	14	4	8					0	2
4					3	7	5	12	0	2
5	4	14	6	18					0	2
6					5	7	10	16	0	2
7	6	13	21	18					0	2
8					10	15	9	16	0	2
9	11	13	21	22					0	2
10					17	15	9	19	0	2
11	2	8	1	0					1	3
12					22	6	12	7	1	3
13	1	10	11	0					1	3
14					12	13	19	7	1	4
15	11	10	21	14					1	4
16					19	13	18	20	1	4
17	21	16	15	14					1	4
18					18	9	17	20	1	4
19	2	16	15	8					2	4
20					22	9	17	6	2	4
21	1	5	3	4					2	4
22					20	10	12	21	2	5
23	3	2	0	4					3	5
24					12	11	17	21	3	6
25	0	2	19	18					3	6
26					17	11	15	9	3	6
27	19	16	14	18					3	6
28					15	22	13	9	3	6
29	1	16	14	5					4	6
30					20	22	13	10	4	6
31	7	8	4	2					4	6
32					14	17	21	19	4	7
33	4	1	6	2					4	7
34					21	15	20	19	4	8
35	6	1	5	3					4	8
36					20	15	18	12	4	8
37	5	0	13	3					5	8
38					18	22	16	12	5	8
39	7	0	13	8					6	8
40					14	22	16	17	6	8
41	6	3	5	10					6	8
42					15	2	18	4	6	9
43	5	9	7	10					6	9
44					21	2	20	4	6	9
45	7	9	1	11					6	9
46					21	20	19	22	6	10
47	1	11	8	0					7	10
48					19	17	16	22	7	10
49	8	6	3	0					8	10
50					18	17	16	15	8	10
51	12	2	13	5					8	10
52					7	0	8	11	8	10
53	13	4	6	5					8	10
54					8	19	18	11	8	11
55	6	4	10	3					8	11
56					18	19	20	1	8	12
57	10	9	14	3					9	12
58					20	21	22	1	9	12
59	12	9	14	2					9	12
60					7	21	22	0	10	12
61	11	15	1	17					10	12
62					13	16	10	8	10	12
63	1	3	2	17					10	12
64					10	22	5	8	10	13
65	2	3	4	12					10	13
66					5	22	21	9	10	14
67	4	7	6	12					10	14
68					21	0	14	9	11	14
69	11	7	6	15					11	14
70					13	0	14	16	12	14
71	12	20	3	9					12	14
72					19	1	17	4	12	14
73	9	20	11	6					12	14
74					17	8	16	4	12	14
75	11	5	10	6					12	14
76					16	8	7	14	12	14
77	15	5	10	18					12	14
78					7	2	13	14	12	14
79	15	12	3	18					12	14
80					19	2	13	1	12	14
81	7	20	9	0					13	15
82					15	22	10	21	13	15
83	9	11	17	0					14	16
84					13	22	16	21	14	16
85	4	11	17	5					14	16
86					13	16	14	6	14	16
87	4	5	8	18					14	16
88					14	12	19	6	14	16
89	8	20	7	18					14	16
90					10	12	19	15	14	16
