	Cambridge Pink and Black Stripe				RHS Green Circle/Black Diamond				Balance
Race	Pink(7, 8)		Black Stripe(10, 11)		Green Circle(7, 8)		Black Diamond(10, 11)		Min	Max
1	6	1	11	2					0	1
2					15	9	20	12	0	1
3	11	17	19	2					0	2
4					20	0	18	12	0	2
5	19	17	7	14					0	2
6					18	0	4	13	0	2
7	7	3	22	14					0	2
8					4	8	16	13	0	2
9	22	3	0	5					0	3
10					16	8	21	10	1	3
11	0	6	1	5					1	4
12					21	15	9	10	2	4
13	22	12	2	17					2	4
14					6	16	5	8	2	4
15	2	14	3	17					2	4
16					4	16	13	8	2	4
17	3	14	1	20					2	4
18					13	0	4	10	2	5
19	1	7	11	20					2	5
20					9	0	15	10	2	6
21	11	7	18	19					2	6
22					15	1	9	21	3	6
23	18	22	12	19					3	6
24					21	1	6	5	4	6
25	14	15	2	3					4	6
26					12	19	18	7	4	6
27	2	8	10	3					4	6
28					18	13	22	7	4	6
29	10	8	4	16					4	6
30					6	13	22	0	4	7
31	4	17	20	16					4	7
32					6	0	21	5	4	8
33	20	17	11	9					5	8
34					21	5	2	1	5	8
35	11	15	14	9					5	8
36					2	12	19	1	6	8
37	10	17	3	13					6	8
38					9	15	11	14	6	8
39	3	5	20	13					6	8
40					8	15	16	14	6	8
41	20	5	21	18					6	8
42					8	0	16	12	6	9
43	21	7	4	18					6	9
44					12	0	3	19	6	10
45	4	7	6	22					7	10
46					3	1	2	19	7	10
47	6	10	17	22					7	10
48					11	1	2	9	8	10
49	12	16	20	14					8	10
50					10	22	17	6	8	10
51	21	16	13	14					8	10
52					4	22	7	6	8	10
53	21	8	13	15					8	10
54					4	3	7	0	8	11
55	19	8	18	15					8	11
56					0	11	3	9	8	12
57	19	4	18	5					9	12
58					2	11	1	9	9	12
59	20	4	12	5					9	12
60					2	10	1	17	10	12
61	21	13	9	7					10	12
62					12	15	20	18	10	12
63	7	13	5	14					10	12
64					18	15	4	0	10	13
65	5	19	6	14					10	13
66					4	3	10	0	10	14
67	6	19	8	22					10	14
68					10	3	17	2	10	14
69	8	11	16	22					11	14
70					17	5	1	2	11	14
71	16	9	11	21					11	14
72					20	5	1	12	12	14
73	14	10	18	17					12	14
74					9	21	16	11	12	14
75	18	6	13	17					12	14
76					0	21	3	11	12	15
77	8	6	13	22					12	15
78					0	2	3	12	12	16
79	8	7	15	22					12	16
80					20	2	5	12	12	16
81	19	7	15	4					13	16
82					20	6	5	1	13	16
83	19	10	14	4					13	16
84					9	6	16	1	14	16
85	11	13	8	17					14	16
86					14	19	10	4	14	17
87	17	21	13	15					14	17
88					4	19	7	2	14	18
89	22	21	18	15					14	18
90					7	5	3	2	14	18
91	18	12	22	20					14	18
92					9	5	3	16	15	18
93	7	12	0	20					15	18
94					9	16	6	1	15	18
95	7	0	11	8					15	18
96					6	14	10	1	16	18
